CD_LOJA;CD_MERCADORIA;ST_LIBERA_SEM_ESTOQUE;DS_CURVA_ABC;NR_QTDE_PONTO_RESSUPRIMENTO;NR_QTDE_ESTOQUE_SEGURANCA;NR_QTDE_ESTOQUE;NR_QTDE_RESERVA;DT_UltimaAlteracao;UsuarioUltimaAlteracao;ST_MERCADORIA_COMPRADA
-------;-------------;---------------------;------------;---------------------------;-------------------------;---------------;---------------;------------------;----------------------;----------------------
1;1;N;;.0000000000;.0000000000;6044.0000000000;2.0000000000;2017-05-30 11:17:15.957;ORANGE;
1;2;S;;20.0000000000;20.0000000000;100.2000000000;.0000000000;2018-02-06 11:15:41.000;ORANGE;
1;3;S;;.0000000000;.0000000000;103.0000000000;3.0000000000;2017-09-20 10:53:37.950;ORANGE;
1;4;S;;20.0000000000;20.0000000000;-21.0000000000;1.0000000000;2017-09-20 15:45:29.627;ORANGE;
1;5;N;;.0000000000;.0000000000;9.0000000000;.0000000000;2017-09-20 14:27:33.360;ORANGE;
1;6;S;;20.0000000000;1.0000000000;-10.0000000000;.0000000000;2017-09-20 15:45:29.640;ORANGE;
1;7;S;;20.0000000000;20.0000000000;-8.0000000000;.0000000000;2017-09-20 10:46:01.370;ORANGE;
1;8;S;;20.0000000000;20.0000000000;-1.0000000000;99.0000000000;2017-10-25 16:11:48.763;ORANGE;
1;9;S;;20.0000000000;20.0000000000;1.0000000000;1.0000000000;2017-09-15 14:24:51.850;GRACILENE;
1;10;N;;20.0000000000;20.0000000000;-835.0000000000;17.0000000000;2017-10-10 10:08:03.810;ORANGE;
1;11;N;;20.0000000000;11.0000000000;2.0000000000;.0000000000;2017-11-03 11:24:33.000;ORANGE;
1;12;S;;50.0000000000;103.0000000000;.0000000000;1.0000000000;2016-01-07 16:29:12.550;ORANGE;
1;13;S;;50.0000000000;28.0000000000;-2.0000000000;.0000000000;2017-09-14 16:02:55.017;ORANGE;
1;14;S;B;50.0000000000;1.0000000000;-4.0000000000;.0000000000;2018-01-29 16:14:05.627;ORANGE;
1;15;S;C;70.0000000000;22.0000000000;1670.0000000000;1.0000000000;2018-03-08 11:18:44.000;ORANGE;
1;16;S;;70.0000000000;3.0000000000;2.0000000000;1.0000000000;2017-10-23 10:50:56.003;ORANGE;
1;17;S;A;10.0000000000;1.0000000000;-1.0000000000;1.0000000000;2017-12-28 11:50:00.803;GRACILENE;
1;18;S;;40.0000000000;7.0000000000;-1.0000000000;.0000000000;2017-09-14 16:02:55.200;ORANGE;
1;19;S;;20.0000000000;10.0000000000;2.0000000000;.0000000000;2015-12-24 12:00:34.000;ORANGE;
1;20;S;;40.0000000000;15.0000000000;2769.0000000000;.0000000000;2018-03-15 18:42:45.610;ORANGE;
1;21;S;;50.0000000000;20.0000000000;28.0000000000;.0000000000;2017-10-17 11:56:23.187;ORANGE;
1;22;S;;50.0000000000;20.0000000000;.0000000000;.0000000000;2017-10-25 15:42:29.827;ORANGE;
1;23;S;;20.0000000000;10.0000000000;2.0000000000;.0000000000;2011-07-05 15:37:11.000;ORANGE;
1;24;S;C;50.0000000000;1.0000000000;-1.0000000000;.0000000000;2017-12-28 11:50:02.207;GRACILENE;
1;25;S;;36.0000000000;11.0000000000;2.0000000000;.0000000000;2008-06-06 13:45:35.700;GRACILENE;
1;26;S;;36.0000000000;118.0000000000;-347.0000000000;.0000000000;2017-09-13 09:30:55.670;ORANGE;
1;27;S;A;.0000000000;1.0000000000;.0000000000;.0000000000;2017-12-28 11:50:03.020;GRACILENE;
1;28;S;;20.0000000000;20.0000000000;2.0000000000;.0000000000;2008-07-01 10:49:03.937;GRACILENE;
1;29;S;C;20.0000000000;1.0000000000;2.0000000000;.0000000000;2007-05-03 09:07:02.973;GRACILENE;
1;30;S;;20.0000000000;1.0000000000;2.0000000000;.0000000000;2007-05-03 09:05:51.800;GRACILENE;
1;31;S;;20.0000000000;2.0000000000;-198.0000000000;.0000000000;2016-04-15 10:19:42.430;ORANGE;
1;32;S;;20.0000000000;20.0000000000;7.0000000000;.0000000000;2018-03-01 17:17:30.163;ORANGE;
1;33;S;;17.0000000000;12.0000000000;1.0000000000;.0000000000;2017-10-05 12:28:58.923;GRACILENE;
1;34;S;A;20.0000000000;2.0000000000;2.0000000000;.0000000000;2006-12-02 09:16:51.640;GRACILENE;
1;35;S;C;20.0000000000;4.0000000000;-151.0000000000;.0000000000;2018-03-05 16:30:34.057;ORANGE;
1;36;S;C;.0000000000;1.0000000000;-2.0000000000;.0000000000;2017-12-28 11:50:05.250;GRACILENE;
1;37;S;;.0000000000;.0000000000;2.0000000000;.0000000000;2012-05-23 11:40:33.670;ORANGE;
1;38;S;;.0000000000;.0000000000;-1330.0000000000;.0000000000;2018-03-06 11:11:55.813;ORANGE;
1;39;S;;.0000000000;.0000000000;-10.0000000000;.0000000000;2017-12-28 11:50:04.517;GRACILENE;
1;40;S;;20.0000000000;2.0000000000;-67.0000000000;.0000000000;2017-05-23 10:45:21.230;ORANGE;
1;41;S;;.0000000000;1.0000000000;-2.0000000000;.0000000000;2017-09-20 10:53:37.990;ORANGE;
1;42;S;;20.0000000000;2.0000000000;-6.0000000000;.0000000000;2017-10-04 17:30:49.420;ORANGE;
